content,label
"JAKARTA, KOMPAS.com – Di tengah melemahnya dan menurunnya daya beli sektor otomotif akibat pandemi Covid-19, PT  Toyota Astra Motor (TAM) mengklaim masih bisa meningkatkan  pangsa pasar.Dalam paparannya di Workshop Wartawan Industri 2020, Selasa (29/9/2020), Direktur Pemasaran PT TAM Anton Jimmi Suwandy, mengatakan, Toyota masih bisa meraih hasil positif pada sepanjang Januari-Agustus 2020.Menurut Anton, pihaknya pada periode tersebut meraih pangsa pasar 31,7 persen dengan total retail sales sebanyak 364.034 unit. Padahal pada periode yang sama tahun 2019, Toyota mendapatkan pangsa pasar 31,4 persen.Baca juga: Kenapa Dek Bawah Lebih Mewah Dibanding yang Atas pada Bus Tingkat? TAM Suasana booth Toyota di IIMS 2017.“Seiring berjalannya waktu sedikit recovery. Penjualan tiap bulannya sudah mengarah ke angka 30.000 unit dan Toyota di atas 13.000 mobil,” ucap Anton.Sementara jika dibandingkan dengan retail sales  Gaikindo, pada Januari-Agustus 2020,  penjualan Toyota mencapai 115.553 unit, atau turun 45,7 persen dibandingkan periode yang sama tahun lalu.Sedangkan menurut angka wholesales pada periode tersebut, Toyota berhasil mendapatkan 97.728 unit atau turun 54 persen dibandinkan tahun 2019 sebanyak 212.599 unit.Baca juga: Muncul Bocoran Toyota Fortuner Facelift, Sekarang Sudah Bisa Pesan?TAM Toyota Corolla CrossAnton menambahkan, saat ini pihaknya bakal fokus mempertahankan pangsa pasar ketimbang volume penjualan.Maka tak heran jika Toyota terus merangsang pasar dengan meluncurkan produk-produk baru. Mulai dari New Agya, Corolla Cross, Kijang Innova TRD Sportivo, Sienta Welcab, New Hilux, New Yaris, sampai New GR Supra.Bahkan dari bocoran-bocoran di media sosial, Toyota tampaknya bakal meluncurkan produk baru lagi pada Oktober 2020. Salah satunya lewat Fortuner facelift, hingga santer terdengar kabar soal Kijang Innova facelift.Baca juga: Maruti Suzuki Siap Menjadi Basis Produksi Jimny di DuniaKOMPAS.com/Ruly Auto2000 Glodok Plaza“Kami berharap dengan produk ini bisa mendapatkan penerimaan yang baik di pasar,” ujar Anton.“Contoh Corolla Cross hasilnya cukup baik, data yang saya dapatkan per 26 September ekspektasinya sudah mencapai 531 unit, dan tentu saja ini sudah melebihi dari harapan kami,” katanya. ",otomotif
"JAKARTA, KOMPAS.com – Belum lama ini Honda telah mengumumkan bakal meluncurkan model terbaru dari  Odyssey dalam waktu dekat. MPV ukuran besar ini bakal mendapat tampilan yang lebih segar serta penambahan beberapa fitur yang makin canggih.Berdasarkan info dari situs Honda Japan, tampilan fascia Odyssey terbaru menjadi lebih modern serta gagah.Utamanya karena lampu LED yang terintegrasi dengan DRL dan gril depan yang lebih mengotak dari sebelumnya.Baca juga: Muncul Bocoran Toyota Fortuner Facelift, Sekarang Sudah Bisa Pesan?honda.co.jp Tampilan Honda Odyssey Facelift Odyssey facelift ini rencananya akan dijual dalam satu varian saja, yakni tipe Absolute. Namun, Honda bakal menawarkanya dalam dua pilihan mesin.Pertama mesin bensin 2.400 cc 4-silinder yang masih sama dengan model sebelumnya. Mesin ini memiliki tenaga 175 ps atau sekitar 173 tk dan torsi 225 Nm dengan transmisi CVT.Kemudian sesuatu yang baru datang dari mesin kedua, di mana Honda juga memberikan mesin e:HEV atau hybrid 2.000 cc 4-silinder yang dikombinasikan dengan motor listrik.Baca juga: Maruti Suzuki Siap Menjadi Basis Produksi Jimny di Duniahonda.co.jp Tampilan interior Honda Odyssey FaceliftTidak hanya itu, untuk memanjakan penumpang belakang, mobil ini juga memiliki lantai yang rendah dan atap yang lumayan tinggi.Membuat ruang interior makin luas, sekaligus memudahkan pergerakan penumpang di belakang.Apalagi untuk membuka pintu, Honda menyematkan gesture control sliding door yang diklaim pertama di Jepang. ",otomotif
"Pasar  sepeda motor bertampang  retro tidak sebesar segmen lain, tapi peminatnya tetap ada. Buktinya ialah beberapa merek  motor tetap membuat produk bertampang jadul.Buat sebagian orang, guratan masa lampau merupakan tren yang tak lekang zaman. Bagi yang sudah berumur tampilan  klasik dapat menjadi obat kangen, sedangkan yang muda menunjang mode.Baca juga: Gaya Klasik Kawasaki W800 Dipermak jadi Motor Custom Flat TrackerBerikut empat motor bertampang klasik yang dijual di Indonesia.Fachri Fachrudin Kawasaki W175 diluncurkan pada event Kawasaki Bike Week (KBW) 2017 di Ancol, Jakarta Utara, Sabtu (18/11/2017).  1.  Kawasaki W175Kawasaki W175 pertama kali meluncur di Kawasaki Bike Week (KBW) 2017 di Ancol, Jakarta Utara.W175 diharapkan membawa angin segar bagi Kawasaki. Tampilan yang terinspirasi kakak kandungnya, yakni W800 dan W250, menjadikan W175 dapat dikatakan tak ada pesaing.Bukan hanya tampilannya yang jadul teknologinya pun terbilang standar. Masih pakai karburator, berpendingin udara, rem depan cakram dan belakang masih tromol.Sesuai ekspektasi motor ini ternyata disambut cukup baik. Melihat ada celah, Kawasaki kemudian meluncurkan W175 versi cafe racer dan scrambler pada 2019.Per September 2020, W175 dibanderol Rp 30,8 juta, W175 Cafe seharga Rp 33,8 juta, dan W175 TR seharga Rp 29,9 juta.Dok. Katros Garage Yamaha XSR155 bergaya flat tracker garapan Katros Garage2. Yamaha XSR155 ",otomotif
"Belum lama ini,  Honda mengeluarkan  motor gede ( moge)  retro, yakni H'Ness CB350. Jangan terkecoh dengan tampilannya yang klasik. Fitur yang disematkan tidak kalah dengan  motor lain di kelasnya.Dikutip dari Indianautosblog.com, H'Ness CB350 dibekali dengan mesin berkapasitas 348,36 cc, satu silinder, dan berpendingin cairan. Mesin dengan transmisi manual 5-percepatan tersebut mampu menghasilkan tenaga hingga 20,8 tk pada 5.500 rpm dan torsi 30 Nm pada 3.000 rpm.Baca juga: Ducati PaulSmart 1000 LE, Moge Retro Edisi TerbatasTidak disebutkan lebih detail mengenai kemampuan akselerasinya, kecepatan tertingginya, atau konsumsi bahan bakar dari mesin tersebut.Honda Honda HNess CB350Namun, disebutkan kapasitas tangki bahan bakarnya bisa diisi hingga 15 liter. Dengan tampilan seperti itu, bobotnya mencapai 181 kg.Untuk menambah kenyamanan dan keamanan, disematkan juga Honda Selectable Torque Control (HSTC) untuk mencegah ban belakang selip saat berada di medan yang licin atau berpasir.indianautosblog.com Honda HNess CB350Suspensi juga bisa dibilang masih pakai model konvensional, meningkatkan kesan retro. Suspensi depan teleskopik, sedangkan suspensi belakang model ganda.Peleknya model alloy, agar bisa disematkan ban tubeless berukuran 100/90 untuk depan dan 130/70 untuk belakang. Diameter ban depan dan belakang juga dibuat berbeda, ban depan ring 19 dan ban belakang ring 18.Honda Honda HNess CB350Untuk sistem pengereman, depan dan belakang sudah pakai cakram yang cukup lebar, 310 mm untuk depan dan 240 mm di belakang. Semakin aman karena dilengkapi teknologi ABS.Beralih ke bagian setang kemudi, di sini fitur canggih bisa terlihat. Spidometernya kombinasi analog dan digital, dengan layar LCD cukup informatif. Tersedia informasi untuk trip meter, fuel meter, gear position indicator, navigasi, sambungan Bluetooth dan ponsel, indikator standar samping, dan lainnya.Honda Honda HNess CB350H'Ness CB350 dibekali juga dengan fitur canggih, yaitu Honda Smartphone Voice Control System (HSVCS). Dengam sambungan Bluetooth, pengendara bisa mengakses fitur telepon, musik, pesan, navigasi, dan prakiraan cuaca.Honda Honda HNess CB350Disebutkan bahwa Honda H'Ness CB350 secara eksklusif dijual di India. Meskipun, tak menutup kemungkinan motor retro cruiser ini juga akan dipasarkan di negara-negara Asia yang memiliki potensi pasar yang tinggi.Honda Honda HNess CB350Dengan dua varian, DLX dan DLX Pro, tersedia enam pilihan warna untuk motor ini. Harganya sendiri dibanderol mulai dari 190.000 rupee atau sekitar Rp 38,5 jutaan. ",otomotif
"Sosialisasi penerapan sistem  tilang elektronik alias electronic traffic law enforcement ( ETLE) di Jalan Margonda Raya, Depok, Jawa Barat resmi berlaku pada hari ini, 1 Oktober 2020.Dalam tahap tersebut, seluruh pengemudi yang melanggar aturan  lalu lintas bakal diberikan pengarahan dan informasi mengenai penindakan tilang elektronik beserta bukti atas pelanggaran terkait.""Kemudian penegakkan hukumnya mulai diterapkan per 1 November 2020,"" ujar Kepala Satuan  Lalu Lintas Polres Metro Depok, Kompol Erwin Aras Genda, belum lama ini.Baca juga: Jalanan Sepi Ternyata Rawan Kecelakaan KOMPAS.com/GARRY LOTULUNG Petugas kepolisian dari direktorat lalu lintas (Ditlantas) Polda Metro Jaya menyosialisasikan penerapan sistem tilang elektronik atau electronic traffic law enforcement (ETLE) untuk kendaraan roda dua atau motor di Simpang Sarinah, Thamrin, Jakarta Pusat, Senin (3/2/2020). Untuk saat ini sistem ETLE untuk pengendara sepeda motor fokus pada penindakan tiga pelanggaran, yakni penggunaan helm, menerobos traffic light, dan melanggar marka jalan. Penerapan aturan tersebut telah resmi diberlakukan mulai Sabtu (1/2/2020).Erwin berharap, selama sebulan masa sosialisasi dapat meningkatkan kedisiplinan dan kepatuhan para pengendara dalam berlalu lintas di sepanjang Jalan Margonda Raya.“Kami menyampaikan sosialisasi dan imbauan kepada masyarakat. Di masa sosialisasi ini kami akan melihat statistik, grafiknya seperti apa, mudah-mudahan ada penurunan,” kata Erwin.""Polisi tidak bisa mengawasi pelanggaran 1x24 jam. Namun, dengan teknologi, 1x24 jam, 7 hari sebulan terekam dengan jelas pelanggaran ini, sehingga tidak ada alasan untuk tidak terakomodir pelanggarannya,"" ucap Erwin.Ke depan, sistem tilang elektronik yang berlaku di Depok akan sama dengan sistem tilang elektronik yang terlebih dahulu telah berlaku di DKI Jakarta.Baca juga: Polda Metro Jaya Ajukan Penambahan 60 Kamera ETLE Tahun DepanTRIBUN JAKARTA/ Dwi Putra Kesuma Kamera pengawas sistem tilang elektronik di JPO depan Balai Kota Depok, Pancoran Mas, Kamis (17/9/2020).Polisi akan langsung mengirimkan bukti pelanggaran beserta tagihan denda ke alamat yang tercantum dalam data nomor polisi kendaraan tersebut.Para pelanggar ketentuan berlalu lintas akan punya masa 14 hari untuk menjawab atau mengkonfirmasi kepada pihak polres, apakah kendaraan tersebut masih dikuasai oleh yang bersangkutan atau sudah dijual.""Apabila yang bersangkutan mengakui pelanggaran tersebut dan mengakui evidence yang dipotret oleh kamera ETLE, maka sudah ada langkah-langkah untuk membayar denda tilang,"" ujar dia.KOMPAS.com/LABIB ZAMANI Petugas kepolisian saat memonitor tilang elektronik melalui ruangan TMC Satlantas Polresta Surakarta, Solo, Jawa Tengah, Rabu (13/2/2019).Di samping itu, Erwin berujar bahwa polisi akan mengenakan denda tilang elektronik dengan jumlah maksimum. Karena itu, dia mengimbau agar para pengendara senantiasa disiplin dalam berlalu lintas.""Kami sampaikan, denda yang diberlakukan adalah denda maksimal, sehingga tolong diantisipasi. Tergantung pelanggarannya, ada yang Rp 500.000, Rp 750.000, dan Rp 1 juta,"" kata dia.Adapun target Satlantas Polres Depok untuk penerapan ETLE di wilayah Depok tahun ini akan terpasang di dua titik. Namun Erwin belum menyatakannya lebih lanjut. ",otomotif
"Pemerintah menggulirkan wacana menstimulus penjualan  mobil baru dengan menghadirkan  relaksasi pajak yang diusulkan hingga nol persen.Namun, hingga saat ini rencana tersebut belum mendapatkan kepastian dan masih bergulir sebagai wacana.Dampak dari isu yang sudah beredar luas tersebut, pada akhirnya bisa menjadi bumerang bagi sebagian besar agen pemegang merek (APM).Hal tersebut diakibatkan lantaran banyak konsumen yang memilih menunda pembelian demi mendapatkan keringanan dari pemerintah. Sattaphan Kantha Honda CR-V Facelift meluncur di ThailandMenanggapi fenomena tersebut, Presiden Direktur Mobil88 Halomoan Fischer mengatakan, kondisi serupa sebenarnya juga terjadi di  mobil bekas.Namun untuk pasar mobil bekas disebutkan skalanya tidak besar, hanya untuk sebagian kalangan konsumen saja.Baca juga: Insentif Pajak Kendaraan Baru, Bikin Penjualan Mobil Malaysia NaikPerlambatan ""Karena masih wacana jadi tidak besar, kalau pun sampai jadi, efeknya nanti untuk mobil bekas hanya sebatas perlambatan saja. Misal, stimulus sampai Desember, dalam kurun waktu itu kemungkinan besar penjualan akan lambat,"" ucap Fischer beberapa hari lalu.Menariknya, Fischer menjelaskan, dengan adanya relaksasi  pajak nol persen untuk mobil baru, sebenarnya ada dampak kerugian jangka panjang bagi konsumen yang membeli.KOMPAS.com/GARRY LOTULUNG Sales promotion girl (SPG) berpose di samping mobil dalam pameran otomotif Indonesia International Motor Show (IIMS) 2019 di Jiexpo Kemayoran, Jakarta Utara, Kamis (25/4/2019). Pameran IIMS 2019 berlangsung hingga 5 Mei 2019 mendatang. Sebanyak 36 merek roda dua dan roda empat ikut memamerkan produk terbarunya di sini.Pasalnya, ketika mobil tersebut nantinya akan dijual lagi, harganya diperkirakan akan sangat jatuh. ",otomotif
" Ducati Corse sudah mengonfirmasi bahwa  Francesco Bagnaia akan bergabung dengan  Jack Miller di  tim pabrikan Ducati mulai musim depan. Kedua pebalap tersebut sama-sama berasal dari tim satelit Ducati,  Pramac Racing.Performa pebalap yang akrab disapa Pecco tersebut memang luar biasa di  MotoGP 2020 ini. Sayangnya, berbagai masalah menimpa Pecco sejak awal musim hingga penampilannya jadi kurang maksimal.Baca juga: Ducati Sengaja Tunda Pengumuman Pengganti DoviziosoDimulai dari masalah mesin pada MotoGP Jerez. Lalu, cedera retak tulang kaki di MotoGP Ceko yang membuatnya absen beberapa seri.Welcome onboard @PeccoBagnaia! | It’s official ???? Francesco ‘Pecco’ Bagnaia joins forces with the Ducati Team for the 2021 @motogp season alongside @jackmilleraus.#PeccoOfficial #ForzaDucati pic.twitter.com/MSJyCyZfB6— Ducati Corse (@ducaticorse) September 30, 2020Tapi, Pecco mampu kembali dengan luar biasa saat balapan di MotoGP San Marino. Dengan kaki yang belum sembuh sepenuhnya, Pecco sanggup finis urutan kedua.Saat balapan di MotoGP Emilia Romagna, Pecco juga berkesempatan untuk memang karena sudah memimpin jauh di depan. Namun, sayangnya terjatuh dan gagal lanjutkan balapan.Baca juga: Zarco dan Bagnaia Berebut Kursi Tim Pabrikan DucatiAFP/PIERRE-PHILIPPE MARCOU Pebalap tim Pramac Racing, Jack Miller, saat berhasil naik podium di Grand Prix Valencia, 17 November 2019.Pecco mengatakan, dirinya memilih untuk menjadi pebalap Ducati sejak sebelum menjadi juara dunia Moto2 2018. Bahkan, Ducati juga memilih Pecco sebelum dirinya meraih gelar tersebut.""Debut MotoGP saya cukup rumit, tapi di Ducati mereka tidak pernah meragukan saya. Mereka memberikan semua dukungan dan kepercayaan yang dibutuhkan seorang rookie,"" ujar Pecco, dikutip dari MotoGP.com.Pecco menambahkan, menjadi pebalap pabrikan Ducati adalah ambisi dan mimpinya yang menjadi kenyataan. ",otomotif
"JAKARTA, KOMPAS.com - Total dari sekian banyak sepeda  motor, ada model-model favorit sering dijadikan bahan  modifikasi atau  custom. Bahkan bukan cuma motor baru tapi motor yang terbilang klasik.Padahal motor tahun tua sayang untuk dimodifikasi. Tapi karena berbagai pertimbangan motor-motor itu rupanya bisa tampil dengan napas baru, yang sangat berbeda dengan edisi standar.""Pada dasarnya semua motor bisa diubah (custom), tapi ada motor yang pas dan enak buat dimodifikasi,"" kata Wahyu Diwa, builder dari Diwa Creative Studio di Depok, Jawa Barat, kepada Kompas.com.Dok. Kustomfest Kawasaki Binter Merzy bergaya skinny chopper garapan Little Man Garage1. Kawasaki Binter MerzyKawasaki KZ200 atau biasa disebut Binter Merzy sering dijadikan basis motor kustom. Mesinnya bandel dan secara tampilan juga enak dilihat karena termasuk mesin tua.Untuk motor batangan 200cc dia punya citra tersendiri. Secara kubikasi Binter Marzy bertarung dengan Honda CB200 tapi beda kasta. Binter satu silinder sedangkan CB dua silinder.""Binter dibikin apa saja enak, mau dibikin retro atau restorasi. Dibikin chopper juga oke. Kalau dibikin vintage pilihannya banyak sekali, mulai tracker, scrambler, chopper, cafe racer bisa semua,"" kata Diwa.Baca juga: Modifikasi Kawasaki W650, Motor Gurun Paling KlimisInstagram/katrosgarage Yamaha Scorpio dengan ubahan bergaya Vintage Trail garapan bengkel Katros Garage.2. Yamaha ScorpioSecara tahun Scorpio belum terlalu tua. Tapi pamornya tak pernah surut.Mengusung kapasitas mesin yang cukup besar yakni 225cc, Scorpio merupakan salah satu motor yang paling sering dibuat menjadi donor  motor custom. ",otomotif
" Honda kembali meluncurkan  sepeda motor baru bergaya  retro.  Motor ini masuk ke dalam keluarga  CB, yakni  H'Ness CB350.Sebelumnya, Honda dikabarkan akan membangkitkan kembali  motor bergaya cafe racer, GB500 TT.Namun ternyata kamar tersebut ditepis dengan langsung menghadirkan kembali keluarga CB di segment motor retro.Baca juga: Honda GB500 TT, Cafe Racer Asal Jepang Cita Rasa EropaDikutip dari Indianautosblog.com, kehadiran CB350 adalah sebagai upaya Honda untuk melawan  Royal Enfield dan motor bergaya retro lainnya yang sekelas.Guna mewujudkan upaya tersebut, akhirnya CB 350 diluncurkan untuk pertama kali di India.indianautosblog.com Honda HNess CB350H'Ness CB350 keluar dengan dua varian, yakni DLX dan DLX Pro.Untuk harganya sendiri, motor ini dibanderol mulai dari 190.000 rupee atau sekitar Rp 38,5 jutaan.Tampilannya kental dengan nuansa retro, mulai dari pilihan lampu depan model bulat, knalpot lapis krom, dan bagian lainnya.Untuk lingkar roda, Honda lebih memilih pelek racing dibandingkan pelek jari-jari.Suspensinya juga bisa dikatakan masih konvensional. Suspensi depan model teleskopik, sementara suspensi belakang model dual-shock.Honda Honda HNess CB350Baca juga: Ducati PaulSmart 1000 LE, Moge Retro Edisi Terbatas ",otomotif
"Beberapa hari lalu dikabarkan bila  Suzuki Jepang sudah memberikan lampu hijau bagi  Maruti Suzuki memproduksi  Jimny di Gurgaon,  India. Tak hanya itu saja, nantinya India juga dinformasikan menjadi basis produksi berikutnya.Artinya, kesempatan  Suzuki Indonesia untuk memproduksi SUV legendaris tersebut di Tanah Air, tepatnya di Cikarang, Jawa Barat, kandas. Karena seperti diketahui, sejak tahun lalu, Suzuki Indomobil Selas (SIS) juga meminta restu agar Jimny bisa diproduksi secara lokal.Terkait informasi tersebut, Marketing Director 4W PT Suzuki Indomobil Sales (SIS) Donny Saputra menjelaskan, selama belum ada informasi resmi dari pihak prinsipal maka belum bisa dipastikan.Baca juga: Maruti Suzuki Siap Menjadi Basis Produksi Jimny di Dunia""Selama informasi bukan informasi resmi dari Suzuki Motor Corporation Jepang, kami akan sulit mengkonfirmasi kebenaran berita tersebut,"" kata Donny dalam diskusi virtual Ngovid, Rabu (30/9/2020). Test Drive Suzuki JimnyDikabarkan oleh Times Now News, Suzuki Motor berencana menjadikan India sebagai pusat produksi eksklusif untuk varian Jimny lima pintu.Kondisi tersebut lantaran permintaan dari SUV legendaris itu sangat tinggi, tak heran bila indennya di berbagai negara, termasuk Indonesia sendiri hingga tahunan.Baca juga: Suzuki Karimun Kotak, Pelopor City Car yang Harganya Masih BerkibarANDREAS LUKAS ALTOBELI Pengunjung mencoba Suzuki New Jimny saat acara Gaikindo Indonesia Internasional Auto Show (GIIAS) 2018 di ICE BSD, Tangerang, Banten, Kamis (02/08/2018). Pada pameran otomotif GIIAS kali ini mengusung tema Beyond Mobility yaitu mobil-mobil teknologi masa depan yang diklaim ramah lingkungan, Acara ini akan berlangsung hingga 12 Agustus 2018.Tahap awalnya akan menggunakan komponen yang masih di pasok dari Jepang, namun fase kedua akan menggunakan komponen lokal dari India mulai 2022 hingga 2023.""Boleh saja bila media lokal di sana menulis seperti itu, tapi kita tunggu informasi resminya,"" ujar Donny.Saat disinggung soal kabar inden Jimny di dalam negeri, Donny hanya mengatakan hingga saat ini permintaanya masih banyak kendati keran pemesanan sudah ditutup sejak September 2019 lalu.  ",otomotif
